Stream Name,Year,Obs Date,Species,Maturity,Count
Sockeye Ck-Hugh Smit,1967,6/13/1967,Sockeye,Adult,13
Sockeye Ck-Hugh Smit,1967,6/14/1967,Sockeye,Adult,15
Sockeye Ck-Hugh Smit,1967,6/15/1967,Sockeye,Adult,148
Sockeye Ck-Hugh Smit,1967,6/16/1967,Sockeye,Adult,28
Sockeye Ck-Hugh Smit,1967,6/17/1967,Sockeye,Adult,250
Sockeye Ck-Hugh Smit,1967,6/18/1967,Sockeye,Adult,46
Sockeye Ck-Hugh Smit,1967,6/19/1967,Sockeye,Adult,17
Sockeye Ck-Hugh Smit,1967,6/20/1967,Sockeye,Adult,34
Sockeye Ck-Hugh Smit,1967,6/21/1967,Sockeye,Adult,20
Sockeye Ck-Hugh Smit,1967,6/22/1967,Sockeye,Adult,227
Sockeye Ck-Hugh Smit,1967,6/23/1967,Sockeye,Adult,589
Sockeye Ck-Hugh Smit,1967,6/24/1967,Sockeye,Adult,4
Sockeye Ck-Hugh Smit,1967,6/25/1967,Sockeye,Adult,8
Sockeye Ck-Hugh Smit,1967,6/26/1967,Sockeye,Adult,2
Sockeye Ck-Hugh Smit,1967,6/27/1967,Sockeye,Adult,26
Sockeye Ck-Hugh Smit,1967,6/28/1967,Sockeye,Adult,1068
Sockeye Ck-Hugh Smit,1967,6/29/1967,Sockeye,Adult,200
Sockeye Ck-Hugh Smit,1967,7/2/1967,Sockeye,Adult,3
Sockeye Ck-Hugh Smit,1967,7/3/1967,Sockeye,Adult,3
Sockeye Ck-Hugh Smit,1967,7/4/1967,Pink,Adult,1
Sockeye Ck-Hugh Smit,1967,7/4/1967,Sockeye,Adult,33
Sockeye Ck-Hugh Smit,1967,7/5/1967,Sockeye,Adult,3
Sockeye Ck-Hugh Smit,1967,7/6/1967,Sockeye,Adult,94
Sockeye Ck-Hugh Smit,1967,7/7/1967,Sockeye,Adult,1086
Sockeye Ck-Hugh Smit,1967,7/8/1967,Sockeye,Adult,275
Sockeye Ck-Hugh Smit,1967,7/9/1967,Sockeye,Adult,3
Sockeye Ck-Hugh Smit,1967,7/10/1967,Sockeye,Adult,10
Sockeye Ck-Hugh Smit,1967,7/11/1967,Sockeye,Adult,104
Sockeye Ck-Hugh Smit,1967,7/12/1967,Sockeye,Adult,104
Sockeye Ck-Hugh Smit,1967,7/13/1967,Sockeye,Adult,206
Sockeye Ck-Hugh Smit,1967,7/14/1967,Sockeye,Adult,8
Sockeye Ck-Hugh Smit,1967,7/15/1967,Sockeye,Adult,414
Sockeye Ck-Hugh Smit,1967,7/18/1967,Sockeye,Adult,35
Sockeye Ck-Hugh Smit,1967,7/19/1967,Sockeye,Adult,76
Sockeye Ck-Hugh Smit,1967,7/20/1967,Sockeye,Adult,15
Sockeye Ck-Hugh Smit,1967,7/21/1967,Sockeye,Adult,35
Sockeye Ck-Hugh Smit,1967,7/22/1967,Sockeye,Adult,7
Sockeye Ck-Hugh Smit,1967,7/23/1967,Sockeye,Adult,1
Sockeye Ck-Hugh Smit,1967,7/25/1967,Sockeye,Adult,34
Sockeye Ck-Hugh Smit,1967,7/26/1967,Pink,Adult,1
Sockeye Ck-Hugh Smit,1967,7/26/1967,Sockeye,Adult,20
Sockeye Ck-Hugh Smit,1967,7/27/1967,Sockeye,Adult,14
Sockeye Ck-Hugh Smit,1967,7/28/1967,Sockeye,Adult,886
Sockeye Ck-Hugh Smit,1967,7/29/1967,Sockeye,Adult,56
Sockeye Ck-Hugh Smit,1967,7/30/1967,Pink,Adult,3
Sockeye Ck-Hugh Smit,1967,7/30/1967,Sockeye,Adult,2
Sockeye Ck-Hugh Smit,1967,7/31/1967,Sockeye,Adult,4
Sockeye Ck-Hugh Smit,1967,8/1/1967,Sockeye,Adult,3
Sockeye Ck-Hugh Smit,1967,8/3/1967,Pink,Adult,5
Sockeye Ck-Hugh Smit,1967,8/3/1967,Sockeye,Adult,20
Sockeye Ck-Hugh Smit,1967,8/4/1967,Pink,Adult,3
Sockeye Ck-Hugh Smit,1967,8/4/1967,Sockeye,Adult,21
Sockeye Ck-Hugh Smit,1967,8/5/1967,Pink,Adult,1
Sockeye Ck-Hugh Smit,1967,8/5/1967,Sockeye,Adult,11
Sockeye Ck-Hugh Smit,1967,8/6/1967,Sockeye,Adult,9
Sockeye Ck-Hugh Smit,1967,8/7/1967,Pink,Adult,1
Sockeye Ck-Hugh Smit,1967,8/7/1967,Sockeye,Adult,18
Sockeye Ck-Hugh Smit,1967,8/8/1967,Sockeye,Adult,9
Sockeye Ck-Hugh Smit,1967,8/9/1967,Chum,Adult,1
Sockeye Ck-Hugh Smit,1967,8/9/1967,Pink,Adult,6
Sockeye Ck-Hugh Smit,1967,8/9/1967,Sockeye,Adult,37
Sockeye Ck-Hugh Smit,1967,8/10/1967,Pink,Adult,10
Sockeye Ck-Hugh Smit,1967,8/10/1967,Sockeye,Adult,53
Sockeye Ck-Hugh Smit,1967,8/11/1967,Sockeye,Adult,3
Sockeye Ck-Hugh Smit,1967,8/12/1967,Pink,Adult,1
Sockeye Ck-Hugh Smit,1967,8/13/1967,Pink,Adult,7
Sockeye Ck-Hugh Smit,1967,8/13/1967,Sockeye,Adult,1
Sockeye Ck-Hugh Smit,1967,8/14/1967,Sockeye,Adult,3
