SPECIMEN_ID,AGE_STRUCTURE_ID,Oto_length,Height,Oto_weight,Species,Fish_weight,Fish_length
19,2,,,,145,4260,680
1,1,20.29,8.54,0.4093,145,2420,530
2,1,17.36,8.34,0.3024,145,2490,530
3,1,20.39,9.59,0.4646,145,3960,620
5,2,18.47,8.48,0.3369,145,,580
4,1,,,,145,3870,590
5,1,20.34,9.84,0.4625,145,4180,620
6,1,17.17,8.05,0.2963,145,1740,460
7,1,15.45,8.15,0.2296,145,1540,430
8,1,19.64,8.93,0.445,145,2520,540
9,1,20.37,10.34,0.5478,145,4550,630
10,1,18.25,9.62,0.4036,145,2920,550
11,1,19.25,8.73,0.3799,145,2820,540
12,1,18.02,8.38,0.3523,145,1820,490
13,1,21.44,10.11,0.552,145,4940,660
14,1,17.07,8.6,0.3365,145,1900,480
12,2,22.65,10.69,0.7365,145,6450,700
13,2,20.4,10.38,0.4725,145,4210,660
2,2,,,,145,,510
10,2,21.79,10.86,0.6971,145,6650,710
23,2,20.99,9.6,0.5541,145,5700,670
4,2,21.43,9.79,0.501,145,,650
8,2,21.75,11.36,0.7164,145,6080,670
9,2,23.52,10.93,0.7497,145,7000,700
15,2,21.6,9.53,0.5066,145,3620,630
16,2,,,,145,6900,720
17,2,,,,145,2470,570
18,2,19.12,9.18,0.3914,145,3410,590
20,2,19.88,10,0.479,145,3850,610
21,2,18.67,8.7,0.3525,145,2660,560
22,2,18.05,8.95,0.3616,145,2500,570
25,2,19.81,9.88,0.4716,145,3290,600
4,1,19.9,9.65,0.5041,145,4630,610
19,2,19.33,10.01,0.4751,145,4170,610
1,2,18.53,8.9,0.3617,145,3410,530
6,2,19.12,9.06,0.3758,145,3130,560
13,2,22.14,9.6,0.6374,145,6170,700
24,2,19.73,8.97,0.4122,145,3790,590
35,2,22.03,10.84,0.7403,145,6120,710
2,2,23.59,10.13,0.6375,145,5660,690
15,1,,,,145,4330,630
15,2,,,,145,4330,630
49,1,,,,145,3680,580
47,2,18.92,9.36,0.3914,145,4300,610
49,2,20.06,9.77,0.4477,145,4140,610
3,2,18.31,8.64,0.3416,145,3350,570
5,1,17.3,7.92,0.2893,145,1940,480
11,2,,,,145,1500,450
17,1,19.51,10.22,0.5007,145,4330,620
17,2,20.47,10.31,0.4916,145,4330,620
2,2,20.21,9.71,0.4449,145,4580,640
3,2,18.95,9.95,0.4609,145,4270,620
4,2,20.91,10,0.6558,145,5100,680
5,2,,,,145,4670,650
15,2,21.6,9.99,0.6236,145,5740,680
16,2,17.32,8.66,0.3376,145,3040,570
34,2,,,,145,7210,710
12,1,20.32,9.89,0.5011,145,3870,630
12,2,20.11,9.65,0.4602,145,3870,630
13,1,18.73,9.66,0.4309,145,4370,620
13,2,,,,145,4370,620
1,1,,,,145,,640
2,1,19.45,9.78,0.4395,145,,510
3,1,18.41,8.71,0.37,145,,590
4,1,,,,145,,650
5,1,,,,145,,580
6,1,,,,145,8370,730
7,1,22.98,10.29,0.6317,145,5500,640
8,1,20.86,10.97,0.679,145,6080,670
9,1,23.08,11.11,0.7309,145,7000,700
10,1,22.07,10.43,0.6518,145,6650,710
11,1,20.7,11.42,0.647,145,6640,710
12,1,22.54,10.23,0.7413,145,6450,700
13,1,,,,145,4210,660
14,1,19.74,10.17,0.493,145,4070,670
15,1,,,,145,3620,630
16,1,,,,145,6900,720
17,1,,,,145,2470,570
18,1,19.24,9.22,0.3977,145,3410,590
19,1,19.31,9.85,0.4429,145,4260,680
20,1,20.01,9.96,0.4715,145,3850,610
21,1,,,,145,2660,560
22,1,17.92,8.83,0.3679,145,2500,570
23,1,,,,145,5700,670
24,1,20.33,10.08,0.5277,145,5380,700
25,1,19.47,9.68,0.461,145,3290,600
9,2,18.99,9.48,0.4041,145,3990,600
10,2,20.16,8.89,0.4433,145,5980,630
17,2,,9.13,0.3054,145,2600,530
22,2,,,,145,4800,630
31,2,20.31,9.49,0.4685,145,4180,630
1,1,20.85,9.32,0.4623,145,4160,630
2,1,23.24,10.71,0.6458,145,5660,690
3,1,,,,145,3350,570
8,1,20.25,10.54,0.5482,145,4460,650
11,1,15.59,7.31,0.2156,145,1500,450
16,1,19.06,9.26,0.438,145,3700,600
2,1,20.61,9.53,0.5014,145,3680,610
6,1,22.03,10.62,0.6706,145,5080,670
9,1,21.54,11.61,0.7171,145,5120,650
13,1,19.02,8.61,0.3985,145,3550,570
16,1,18.41,9.74,0.4286,145,3520,570
20,1,19.75,9.48,0.4836,145,3870,570
23,1,21.13,10.25,0.5448,145,4960,620
26,1,19.1,9.53,0.4388,145,2990,530
30,1,18.1,8.25,0.3374,145,2630,540
34,1,15.81,7.53,0.2404,145,1540,440
37,1,19.23,8.91,0.4012,145,3360,580
40,1,19.31,9.78,0.4625,145,3710,600
44,1,22.52,10.56,0.6745,145,6060,700
47,1,19.6,9.75,0.4553,145,3960,570
50,1,19.85,9.47,0.4133,145,3090,540
